workload,level,hits,misses,total_accesses,hit_rate_pct
dlrm,L1,17,2,19,89.47
dlrm,L2,0,19,19,0.0
dlrm,L3,5257961,30533889,35791850,14.69
dlrm,L4,0,35277240,35277240,0.0
pr,L1,16,2,18,88.89
pr,L2,0,18,18,0.0
pr,L3,4940175,14356397,19296572,25.6
pr,L4,0,18885532,18885532,0.0
cc,L1,16,2,18,88.89
cc,L2,0,18,18,0.0
cc,L3,6330988,36811424,43142412,14.67
cc,L4,0,42532748,42532748,0.0
sssp,L1,763860,2,763862,100.0
sssp,L2,223,763639,763862,0.03
sssp,L3,16581286,16334020,32915306,50.38
sssp,L4,0,32268679,32268679,0.0
gc,L1,4580722,3,4580725,100.0
gc,L2,10149,4570576,4580725,0.22
gc,L3,5456511,26178078,31634589,17.25
gc,L4,0,31013993,31013993,0.0
tc,L1,7,2,9,77.78
tc,L2,0,9,9,0.0
tc,L3,336759,3055215,3391974,9.93
tc,L4,0,3355659,3355659,0.0
xs,L1,9,2,11,81.82
xs,L2,0,11,11,0.0
xs,L3,4907998,2468457,7376455,66.54
xs,L4,0,7369027,7369027,0.0
rnd,L1,0,2,2,0.0
rnd,L2,0,2,2,0.0
rnd,L3,2458375,33092009,35550384,6.92
rnd,L4,0,35522701,35522701,0.0
bfs,L1,17,2,19,89.47
bfs,L2,0,19,19,0.0
bfs,L3,5250175,30695143,35945318,14.61
bfs,L4,0,35430508,35430508,0.0
bc,L1,94430,2,94432,100.0
bc,L2,34,94398,94432,0.04
bc,L3,2655181,2947401,5602582,47.39
bc,L4,0,5499720,5499720,0.0
gen,L1,4580807,3,4580810,100.0
gen,L2,10137,4570673,4580810,0.22
gen,L3,5448849,26185228,31634077,17.22
gen,L4,0,31015037,31015037,0.0
