folder_tag,level,0..1,2..3,4..7,8..15,16..31,32..63,64..127,128..255,256..511,512..1023,1024..2047
ptb-pd_dlrm,2,,,,,12,,1,6,,,
ptb-pd_pr,2,,,,,,,,18,,,
ptb-pd_cc,2,,,,,12,,,6,,,
ptb-pd_sssp,2,,,,,761358,2,68,2174,25,,
ptb-pd_gc,2,,,,,4570415,,4,271,2,1,
ptb-pd_tc,2,,,,,3,,2,4,,,
ptb-pd_xs,2,,,,,6,,1,4,,,
ptb-pd_rnd,2,,,,,,,,2,,,
ptb-pd_bfs,2,,,,,12,,,7,,,
ptb-pd_bc,2,,,,,93077,,,1308,13,,
ptb-pd_gen,2,,,,,4570408,2,3,260,2,1,
victima_dlrm,2,,,,,2218058,,1,350,5,,
victima_pr,2,,,,,16420,,1,42,2,,
victima_cc,2,,,,,2635983,,,6,,,
victima_sssp,2,,,,,999786,,21,1842,19,,
victima_gc,2,,,1,,8895659,2,5,105,1,,
victima_tc,2,,,,,3,,2,4,,,
victima_xs,2,,,,,8779,,,40,1,,
victima_rnd,2,,,,,,,,2,,,
victima_bfs,2,,,,,1835620,,2,349,5,,
victima_bc,2,,,,,133439,,1,954,8,,
victima_gen,2,,,,,8844827,1,5,108,,,
ptb_dlrm,2,,,,,2411811,,,8,,,
ptb_pr,2,,,,,187819,,1,59,2,,
ptb_cc,2,,,,,2125616,,,6,,,
ptb_sssp,2,,,,,1027866,,16,1127,10,,
ptb_gc,2,,,,,10245327,1,5,141,1,,
ptb_tc,2,,,,,3,,1,5,,,
ptb_xs,2,,,,,23645,,,26,,,
ptb_rnd,2,,,,,,,,2,,,
ptb_bfs,2,,,,,1679152,,1,7,1,,
ptb_bc,2,,,,,137146,,,604,7,,
ptb_gen,2,,,,,10246562,,6,137,1,,
utopia_dlrm,2,,,,,437662,,,274,1,,
utopia_pr,2,,,,,3088,,,50,,1,
utopia_cc,2,,,,,658451,,,74,,,
utopia_sssp,2,,,,,654947,,4,810,4,,
utopia_gc,2,,,,,716301,,,447,2,,
utopia_tc,2,,,,,9713,,,150,,,
utopia_xs,2,,,,,1,,,6,,,
utopia_rnd,2,,,,,,,,1,,,
utopia_bfs,2,,,,,448136,,,81,1,,
utopia_bc,2,,,,,67808,,,428,3,,
utopia_gen,2,,,,,701941,,,463,,1,
baseline_dlrm,2,,,,,2951100,,1,9,,,
baseline_pr,2,,,,,548816,,,68,,1,
baseline_cc,2,,,,,2359244,,,149,,,
baseline_sssp,2,,,,,978135,1,18,1397,6,,
baseline_gc,2,,,,,9978634,,5,136,,,
baseline_tc,2,,,,,3,,1,5,,,
baseline_xs,2,,,,,24034,,,5,,,
baseline_rnd,2,,,,,,,,2,,,
baseline_bfs,2,,,,,1890043,,2,205,,,
baseline_bc,2,,,,,136499,,,927,9,,
baseline_gen,2,,,,,9637767,,6,136,2,,
potm_dlrm,2,,,,,3023791,,,169,1,,
potm_pr,2,,,,,474969,,,54,,1,
potm_cc,2,,,,,2404554,,,5,1,,
potm_sssp,2,,,,,980999,1,19,1116,10,,
potm_gc,2,,,,,8408775,1,5,85,13,2,
potm_tc,2,,,,,95551,,,9,,,
potm_xs,2,,,,,8869,,,44,3,,
potm_rnd,2,,,,,,,,1,1,,
potm_bfs,2,,,,,1926664,,1,197,2,,
potm_bc,2,,,,,126662,,,733,5,,
potm_gen,2,,,,,8408191,1,4,85,14,,
